section,group,seq,name,unit,qty,model,alias,price,total
二十二、6F无纸化智慧会议室（74.68㎡）,信号管理综合运维管理系统,9,网络电源控制器,台,1,8路网络继电器,EMeta-REL08-1U,998,998
二十二、6F无纸化智慧会议室（74.68㎡）,信号管理综合运维管理系统,10,智能电源监测管理器,台,2,21路智能时序电源,EMeta-PNC218,2040,4080
二十二、6F无纸化智慧会议室（74.68㎡）,信号管理综合运维管理系统,11,平板,台,1,,,,0
二十二、6F无纸化智慧会议室（74.68㎡）,信号管理综合运维管理系统,12,路由器,台,1,,,,0
二十四、会务管理及总运维管理系统,,1,专业会议室管理系统,套,1,会务管理系统,EMeta-MMS,6500,6500
二十四、会务管理及总运维管理系统,,2,信息发布对接,套,1,信息发布管理系统,EMeta-RMS,3000,3000
二十四、会务管理及总运维管理系统,,3,智慧医院会议总综合运维管理控制平台,套,1,物联运维管理平台,EMeta-IOT-VF,48000,48000
二十四、会务管理及总运维管理系统,,4,数据分析及报表模块,套,1,,定制,25000,25000
二十四、会务管理及总运维管理系统,,5,资产管理模块,套,1,,定制,9000,9000
二十四、会务管理及总运维管理系统,,6,分会议室数据备份模块,套,1,,定制,9000,9000
二十四、会务管理及总运维管理系统,,7,平台对接接口开发,套,1,,定制,25000,25000
二十四、会务管理及总运维管理系统,,8,总综合运维平台服务器,台,1,系统服务器,EMeta-MS400Z,39300,39300
二十八、10F多功能会议室（108㎡）,,6,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
二十九、17F活动室（112㎡）,,4,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
